DE: Iron and steel / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Diesel oil (incl. biofuels),3.1,2.1,2.1,4.2,3.4,3.1,3.0,2.8,3.2,2.6,3.2,2.4,2.2,1.9,1.8,7.9
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),191.9,190.0,189.4,205.4,201.8,190.0,208.6,201.3,200.7,165.2,181.7,200.9,200.2,197.2,188.8,180.1
"Steel: Furnaces, Refining and Rolling - Electric",128.0,126.7,126.3,136.9,134.5,126.7,139.1,134.2,133.8,110.1,121.1,134.0,133.5,131.4,125.9,120.1
Steel: Products finishing,168.4,166.3,165.6,180.5,177.1,166.1,182.2,175.7,178.4,147.2,162.3,178.5,178.0,171.6,164.3,160.0
Steel: Products finishing - Thermal,101.8,84.2,73.9,92.9,64.4,60.3,66.2,64.0,66.1,55.2,60.7,66.6,66.9,62.7,60.1,59.4
LPG,0.5,0.6,0.5,0.4,0.5,0.1,0.1,0.1,2.1,2.1,2.4,2.4,2.6,0.0,0.0,0.0
Diesel oil (incl. biofuels),1.1,0.8,0.7,1.5,1.2,1.1,1.1,1.0,1.2,0.9,1.2,0.9,0.8,0.7,0.6,2.9
Natural gas (incl. biogas),100.2,82.8,72.7,91.0,62.6,59.1,65.0,63.0,62.8,52.1,57.2,63.4,63.5,62.0,59.4,56.5
Steel: Products finishing - Steam,53.2,52.1,51.7,56.1,54.9,51.3,56.0,53.5,54.4,44.0,48.8,53.3,52.5,51.7,49.4,48.4
Solids,21.3,19.7,21.0,27.0,25.0,26.6,27.7,24.4,24.3,17.3,23.2,25.5,24.9,29.7,27.6,28.8
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.5,0.5,0.5,0.4,0.4,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.5,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.1,0.1,0.1,0.5
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,1.2,0.8,0.2,0.4,0.2,0.9,1.5,0.3,0.6,0.4,0.5,0.3,0.2
Natural gas (incl. biogas),31.2,31.9,30.2,25.2,25.2,22.5,25.6,25.5,26.1,17.9,17.9,17.7,14.1,14.2,13.1,13.2
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2
Steam distributed,0.0,0.0,0.0,2.1,1.6,1.6,2.0,3.0,2.3,6.6,6.5,8.9,12.6,7.1,7.5,5.4
Steel: Products finishing - Electric,13.4,30.0,40.0,31.4,57.8,54.5,60.0,58.1,57.9,48.1,52.8,58.5,58.6,57.2,54.8,52.2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Market shares of energy uses by subsector (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Integrated steelworks,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%
Air compressors,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%
Motor drives,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%,2.14%
Fans and pumps,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%,0.05%
Low enthalpy heat,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%
Steel: Sinter/Pellet making,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%,9.93%
Steel: Blast /Basic oxygen furnace,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%,65.16%
"Steel: Furnaces, Refining and Rolling",14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%,14.89%
"Steel: Furnaces, Refining and Rolling - Thermal",9.02%,9.01%,9.00%,9.03%,9.02%,9.00%,8.99%,8.99%,9.09%,9.11%,9.12%,9.09%,9.10%,8.97%,8.97%,9.09%
"Steel: Furnaces, Refining and Rolling - Electric",5.88%,5.89%,5.90%,5.86%,5.87%,5.89%,5.90%,5.90%,5.80%,5.78%,5.77%,5.80%,5.80%,5.92%,5.92%,5.80%
Steel: Products finishing,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%,7.48%
Steel: Products finishing - Thermal,4.52%,3.79%,3.34%,3.85%,2.72%,2.71%,2.72%,2.73%,2.77%,2.80%,2.80%,2.79%,2.81%,2.73%,2.74%,2.78%
Steel: Products finishing - Steam,2.36%,2.34%,2.34%,2.33%,2.32%,2.31%,2.30%,2.28%,2.28%,2.23%,2.25%,2.23%,2.21%,2.25%,2.25%,2.26%
Steel: Products finishing - Electric,0.59%,1.35%,1.81%,1.30%,2.44%,2.46%,2.46%,2.47%,2.43%,2.44%,2.43%,2.45%,2.46%,2.49%,2.50%,2.44%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Electric arc,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%
Air compressors,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%,0.23%
Motor drives,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%,5.80%
Fans and pumps,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%,0.15%
Low enthalpy heat,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%
Steel: Smelters,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%,15.49%
Steel: Electric arc,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%,42.53%
"Steel: Furnaces, Refining and Rolling",23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%,23.23%
"Steel: Furnaces, Refining and Rolling - Thermal",14.07%,14.05%,14.03%,14.08%,14.07%,14.03%,14.02%,14.02%,14.18%,14.21%,14.23%,14.18%,14.19%,13.99%,13.99%,14.18%
"Steel: Furnaces, Refining and Rolling - Electric",9.16%,9.18%,9.19%,9.15%,9.16%,9.19%,9.20%,9.21%,9.04%,9.02%,9.00%,9.05%,9.04%,9.23%,9.24%,9.05%
Steel: Products finishing,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%,12.06%
Steel: Products finishing - Thermal,7.29%,6.10%,5.38%,6.21%,4.38%,4.38%,4.38%,4.39%,4.46%,4.52%,4.51%,4.50%,4.53%,4.40%,4.41%,4.48%
Steel: Products finishing - Steam,3.81%,3.78%,3.76%,3.75%,3.74%,3.72%,3.71%,3.67%,3.68%,3.60%,3.62%,3.60%,3.56%,3.63%,3.62%,3.64%
Steel: Products finishing - Electric,0.96%,2.18%,2.91%,2.10%,3.94%,3.96%,3.97%,3.99%,3.92%,3.94%,3.92%,3.95%,3.97%,4.02%,4.02%,3.93%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Energy intensity (kgoe per t of output),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Integrated steelworks,405.75,406.37,401.22,442.51,397.76,384.04,395.67,364.11,385.49,421.72,389.73,402.50,418.28,410.93,403.11,407.50
Lighting,0.65,0.65,0.64,0.71,0.64,0.62,0.63,0.58,0.62,0.68,0.62,0.65,0.67,0.66,0.65,0.65
Air compressors,0.35,0.35,0.34,0.38,0.34,0.33,0.34,0.31,0.33,0.36,0.33,0.34,0.36,0.35,0.34,0.35
Motor drives,8.67,8.68,8.57,9.46,8.50,8.21,8.45,7.78,8.24,9.01,8.33,8.60,8.94,8.78,8.61,8.71
Fans and pumps,0.22,0.22,0.21,0.24,0.21,0.21,0.21,0.19,0.21,0.23,0.21,0.22,0.22,0.22,0.22,0.22
Low enthalpy heat,0.43,0.43,0.43,0.47,0.42,0.41,0.42,0.39,0.41,0.45,0.42,0.43,0.45,0.44,0.43,0.44
Steel: Sinter/Pellet making,40.29,40.35,39.84,43.94,39.49,38.13,39.29,36.15,38.28,41.87,38.70,39.97,41.53,40.80,40.03,40.46
Steel: Blast /Basic oxygen furnace,264.36,264.77,261.42,288.32,259.16,250.22,257.80,237.24,251.17,274.77,253.93,262.25,272.53,267.74,262.65,265.50
"Steel: Furnaces, Refining and Rolling",60.43,60.52,59.76,65.91,59.24,57.20,58.93,54.23,57.41,62.81,58.05,59.95,62.30,61.20,60.04,60.69
Steel: Products finishing,30.35,30.39,30.01,33.10,29.75,28.72,29.59,27.23,28.83,31.54,29.15,30.10,31.28,30.73,30.15,30.48
,,,,,,,,,,,,,,,,
Electric arc,104.82,104.93,103.99,111.46,103.35,100.81,102.96,97.07,101.08,107.73,101.86,104.21,107.10,105.76,104.33,105.13
Lighting,0.33,0.33,0.33,0.35,0.32,0.32,0.32,0.30,0.32,0.34,0.32,0.33,0.34,0.33,0.33,0.33
Air compressors,0.24,0.24,0.24,0.26,0.24,0.23,0.24,0.23,0.23,0.25,0.24,0.24,0.25,0.25,0.24,0.24
Motor drives,6.08,6.09,6.03,6.47,6.00,5.85,5.98,5.63,5.87,6.25,5.91,6.05,6.21,6.14,6.05,6.10
Fans and pumps,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15
Low enthalpy heat,0.22,0.22,0.22,0.23,0.22,0.21,0.22,0.20,0.21,0.23,0.21,0.22,0.22,0.22,0.22,0.22
Steel: Smelters,16.23,16.25,16.10,17.26,16.00,15.61,15.94,15.03,15.65,16.68,15.77,16.14,16.58,16.38,16.16,16.28
Steel: Electric arc,44.58,44.62,44.22,47.40,43.95,42.87,43.79,41.28,42.98,45.81,43.32,44.32,45.54,44.98,44.37,44.71
"Steel: Furnaces, Refining and Rolling",24.35,24.37,24.15,25.89,24.01,23.42,23.92,22.55,23.48,25.02,23.66,24.21,24.88,24.57,24.23,24.42
Steel: Products finishing,12.64,12.65,12.54,13.44,12.46,12.15,12.41,11.70,12.19,12.99,12.28,12.56,12.91,12.75,12.58,12.67
