DE: Non-metallic mineral products / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Glass: Annealing - electric,62.6,69.4,65.8,48.4,47.5,47.5,48.3,53.4,46.5,41.8,44.1,46.5,44.0,43.2,41.9,43.9
Glass: Finishing processes,191.2,211.9,201.0,147.8,145.1,145.1,147.6,163.0,141.9,127.6,134.7,142.1,134.2,131.8,127.9,134.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Market shares of energy uses by subsector (%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Cement,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%
Air compressors,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%,0.21%
Motor drives,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%,0.90%
Fans and pumps,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%
Low enthalpy heat,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%
"Cement: Grinding, milling of raw material",3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%,3.10%
Cement: Pre-heating and pre-calcination,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%,35.01%
Cement: pre-processing - Fuel use,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%,32.81%
Cement: pre-processing - Steam,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%,2.20%
Cement: Clinker production (kilns),56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%,56.94%
"Cement: Grinding, packaging",2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%,2.90%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ceramics & other NMM,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%,0.53%
Air compressors,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%,0.55%
Motor drives,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%,0.76%
Fans and pumps,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%
Low enthalpy heat,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%
Ceramics: Mixing of raw material,4.56%,4.93%,4.88%,4.13%,4.14%,4.17%,4.20%,4.26%,4.10%,4.12%,4.17%,4.31%,4.27%,4.19%,4.13%,4.17%
Ceramics: Drying and sintering of raw material,15.39%,14.66%,14.77%,16.24%,16.21%,16.15%,16.11%,15.99%,16.29%,16.26%,16.16%,15.88%,15.96%,16.11%,16.23%,16.17%
Ceramics: Thermal drying and sintering,13.37%,12.64%,12.75%,14.22%,14.19%,14.13%,14.09%,13.97%,14.27%,14.24%,14.14%,13.87%,13.94%,14.10%,14.21%,14.10%
Ceramics: Steam drying and sintering,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%,2.02%
Ceramics: Microwave drying and sintering,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05%
Ceramics: Primary production process,65.80%,66.15%,66.10%,65.41%,65.42%,65.45%,65.47%,65.52%,65.38%,65.39%,65.44%,65.57%,65.53%,65.46%,65.41%,65.44%
Ceramics: Thermal kiln,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%,61.56%
Ceramics: Electric kiln,4.24%,4.59%,4.54%,3.84%,3.86%,3.88%,3.90%,3.96%,3.82%,3.83%,3.88%,4.01%,3.97%,3.90%,3.85%,3.88%
Ceramics: Product finishing,11.61%,11.63%,11.63%,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%,11.60%,11.58%
Ceramics: Thermal furnace,6.84%,6.47%,6.52%,7.28%,7.26%,7.23%,7.21%,7.15%,7.30%,7.29%,7.24%,7.10%,7.14%,7.21%,7.27%,7.22%
Ceramics: Electric furnace,4.77%,5.16%,5.10%,4.32%,4.34%,4.37%,4.39%,4.45%,4.29%,4.31%,4.36%,4.51%,4.47%,4.39%,4.33%,4.37%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Glass production,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Lighting,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%
