DE: Non Ferrous Metals / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Electricity,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.5
Other Metals: production,788.1,797.6,792.3,724.8,739.7,714.7,665.7,649.3,657.2,562.6,611.3,576.6,560.1,529.2,520.0,595.9
Metal production - Thermal,325.7,329.8,327.0,293.5,299.4,289.0,268.8,262.5,264.3,226.5,246.0,231.7,224.8,212.0,208.7,239.0
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,17.5,18.0,16.8,5.9,5.9,5.3,4.2,4.6,2.4,2.5,2.4,1.8,1.2,0.6,1.2,1.2
Diesel oil (incl. biofuels),29.3,24.9,21.6,20.1,19.7,16.2,13.6,11.8,14.0,10.1,8.9,7.1,4.5,8.7,1.4,0.6
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),278.9,286.9,288.6,267.4,273.8,267.5,251.0,246.0,247.9,214.0,234.7,222.8,219.1,202.7,206.2,237.2
Metal production - Electric,462.4,467.8,465.3,431.3,440.3,425.6,396.9,386.8,392.9,336.1,365.3,344.9,335.3,317.1,311.3,356.8
"Metal processing  (metallurgy e.g. cast house, reheating)",378.8,383.4,380.8,348.4,355.5,343.5,320.0,312.1,315.9,270.4,293.8,277.1,269.2,254.3,249.9,286.4
Metal processing - Thermal,171.2,166.8,164.6,183.4,169.9,170.2,95.5,74.6,94.1,102.7,103.4,91.3,88.2,105.0,92.3,81.4
LPG,8.4,8.6,8.1,2.8,2.8,2.5,2.0,2.2,1.1,1.2,1.2,0.9,0.6,0.3,0.6,0.6
Diesel oil (incl. biofuels),15.5,12.6,10.9,12.6,11.2,9.6,4.8,3.3,5.0,4.6,3.7,2.8,1.8,4.3,0.6,0.2
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),147.3,145.5,145.7,167.9,155.9,158.1,88.7,69.1,88.0,97.0,98.5,87.7,85.8,100.4,91.1,80.6
Metal processing - Electric,207.6,216.6,216.2,164.9,185.6,173.2,224.4,237.5,221.8,167.7,190.4,185.8,181.0,149.3,157.7,205.0
Metal finishing,210.5,213.0,211.6,193.6,197.6,190.9,177.8,173.4,175.5,150.3,163.3,154.0,149.6,141.3,138.9,159.1
Metal finishing - Thermal,77.2,77.8,77.2,72.4,72.9,70.8,62.6,60.0,61.8,54.1,58.3,54.7,53.1,51.3,49.8,55.8
LPG,2.0,2.0,1.9,0.7,0.7,0.6,0.5,0.5,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1
Diesel oil (incl. biofuels),7.2,6.1,5.3,5.0,4.8,4.0,3.2,2.7,3.3,2.4,2.1,1.7,1.1,2.1,0.3,0.2
Natural gas (incl. biogas),68.1,69.7,70.1,66.7,67.4,66.2,58.9,56.8,58.2,51.4,55.9,52.8,51.9,49.1,49.4,55.5
Metal finishing - Steam,122.1,123.6,122.8,112.3,114.6,110.8,103.2,100.6,101.9,87.2,94.7,89.4,86.8,82.0,80.6,92.4
Solids,47.6,48.5,47.9,38.8,34.0,30.5,10.2,10.7,9.0,9.1,7.9,9.8,9.8,10.5,9.6,9.8
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
