DE: Industry Summary,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Solids,264.4,271.2,274.6,208.3,155.2,242.5,301.9,306.2,322.3,350.4,351.5,365.5,349.6,371.1,354.6,367.3
Liquids,"22,245.6","22,130.1","22,004.4","20,465.3","21,004.4","21,566.4","21,021.2","20,408.0","19,758.6","18,574.5","19,525.6","19,371.5","19,116.7","18,636.4","18,940.8","18,197.2"
Refinery gas,393.7,417.4,503.6,52.5,42.7,42.0,42.0,41.6,42.4,31.4,35.5,33.5,32.4,32.4,28.8,32.3
LPG,913.0,910.8,852.6,903.4,980.4,"1,038.3","1,007.9","1,037.3",989.6,966.4,"1,069.7","1,051.1","1,158.8","1,198.4",882.9,"1,190.8"
Diesel oil,380.1,489.8,545.1,554.1,523.3,647.2,569.5,683.4,692.4,445.7,622.9,613.8,587.1,456.0,351.1,176.9
Residual fuel oil,"2,618.7","2,743.9","2,869.0","1,738.1","1,583.7","1,683.5","1,670.7","1,653.2","1,708.1","1,719.2","1,647.0","1,633.5","1,688.4","1,183.4","1,177.4","1,278.4"
Other liquids,"4,464.1","4,283.6","4,168.9","3,831.5","3,695.1","3,961.6","4,345.5","4,057.7","3,879.0","3,603.6","3,614.1","4,039.2","3,440.3","3,319.1","3,462.8","3,302.8"
Naphtha,"13,476.0","13,284.7","13,065.1","13,385.6","14,179.1","14,193.7","13,385.6","12,934.7","12,447.1","11,808.2","12,536.4","12,000.5","12,209.6","12,447.1","13,037.7","12,215.9"
Gas,"2,149.6","2,149.6","2,149.6","2,149.6","2,364.6","2,472.1","2,364.6","2,300.1","2,176.7","1,937.5","2,392.1","2,316.0","2,056.6","2,410.3","2,527.8","2,372.1"
Natural gas,"2,149.6","2,149.6","2,149.6","2,149.6","2,364.6","2,472.1","2,364.6","2,300.1","2,176.7","1,937.5","2,392.1","2,316.0","2,056.6","2,410.3","2,527.8","2,372.1"
Derived gases,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RES and wastes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
by sector,"24,659.7","24,550.9","24,428.6","22,823.1","23,524.2","24,281.0","23,687.7","23,014.3","22,257.6","20,862.3","22,269.2","22,053.0","21,522.9","21,417.8","21,823.3","20,936.6"
Basic chemicals,"20,014.3","20,034.6","20,018.5","18,824.4","19,713.2","20,181.4","19,177.9","18,751.6","18,176.3","17,000.3","18,420.3","17,748.5","17,810.9","17,806.5","18,073.3","17,192.7"
Other industrial sectors,"4,645.4","4,516.4","4,410.1","3,998.7","3,811.0","4,099.6","4,509.7","4,262.7","4,081.3","3,862.0","3,848.9","4,304.5","3,712.0","3,611.3","3,750.0","3,743.9"
,,,,,,,,,,,,,,,,
CO2 emissions (kt CO2),"170,765.3","156,417.6","155,270.6","159,294.8","160,428.8","160,925.2","161,296.1","169,771.1","166,272.2","140,101.8","161,913.4","157,120.8","148,904.2","148,218.7","145,848.3","152,337.9"
