DE: Other Industrial Sectors / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other Industries: Thermal drying,0.87%,0.88%,0.89%,0.94%,0.91%,0.95%,0.97%,0.98%,0.92%,0.93%,0.94%,0.95%,0.96%,0.95%,0.96%,0.96%
Other Industries: Steam drying,1.89%,1.90%,1.92%,2.04%,1.98%,2.06%,2.10%,2.12%,1.99%,2.01%,2.03%,2.06%,2.09%,2.06%,2.07%,2.07%
Other Industries: Electric drying,0.15%,0.15%,0.15%,0.16%,0.15%,0.16%,0.16%,0.16%,0.15%,0.15%,0.16%,0.16%,0.16%,0.16%,0.16%,0.16%
Other Industrial sectors: Process Cooling,1.50%,1.51%,1.53%,1.63%,1.58%,1.64%,1.67%,1.68%,1.59%,1.60%,1.62%,1.64%,1.66%,1.64%,1.65%,1.65%
Other Industries: Thermal cooling,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%,0.08%
Other Industries: Steam cooling,0.38%,0.38%,0.38%,0.41%,0.39%,0.41%,0.42%,0.42%,0.40%,0.40%,0.40%,0.41%,0.42%,0.41%,0.41%,0.41%
Other Industries: Electric cooling,1.05%,1.06%,1.07%,1.14%,1.10%,1.15%,1.17%,1.18%,1.11%,1.12%,1.13%,1.15%,1.16%,1.15%,1.16%,1.15%
Other Industrial sectors: Diesel motors,5.29%,4.87%,4.42%,1.20%,0.87%,0.89%,0.75%,0.66%,1.02%,0.65%,0.58%,0.56%,0.49%,0.42%,0.36%,0.34%
Other Industrial sectors: Electric machinery,5.01%,8.60%,9.29%,14.24%,14.57%,15.12%,15.76%,15.27%,5.41%,10.56%,9.41%,12.12%,12.09%,11.57%,13.47%,11.68%
,,,,,,,,,,,,,,,,
Energy intensity (toe/physical output index),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other Industrial Sectors,119.01,117.14,116.54,109.16,110.28,107.96,106.62,106.25,108.24,106.31,104.64,101.42,99.97,99.32,98.42,96.21
Lighting,11.41,11.28,11.33,11.13,10.96,11.08,11.11,11.15,10.82,10.68,10.62,10.40,10.37,10.19,10.16,9.91
Air compressors,7.52,7.43,7.47,7.31,7.18,7.29,7.32,7.35,7.09,7.00,6.97,6.84,6.83,6.70,6.68,6.52
Motor drives,15.71,15.57,15.64,15.80,15.78,15.67,15.59,15.58,15.53,15.29,15.12,14.72,14.59,14.41,14.33,13.99
Fans and pumps,4.65,4.60,4.58,4.54,4.66,4.47,4.37,4.34,4.56,4.46,4.36,4.20,4.11,4.11,4.06,3.97
Low enthalpy heat,11.62,11.46,11.50,11.00,10.80,10.96,11.01,11.05,10.67,10.54,10.49,10.28,10.27,10.07,8.53,8.36
Other Industrial sectors: Steam processing,29.34,25.10,24.65,20.36,18.57,19.64,19.42,19.83,29.79,25.01,25.73,22.48,22.27,21.86,20.35,21.91
Other Industrial sectors: Process heating,21.26,20.73,20.14,16.97,20.19,16.37,14.98,14.77,17.79,16.42,15.92,14.78,14.09,15.29,15.93,15.33
Other Industrial sectors: Drying,3.46,3.42,3.45,3.43,3.36,3.42,3.44,3.46,3.32,3.28,3.27,3.21,3.21,3.14,3.14,3.06
Other Industrial sectors: Process Cooling,1.79,1.77,1.78,1.77,1.74,1.77,1.78,1.79,1.72,1.70,1.69,1.66,1.66,1.63,1.62,1.58
Other Industrial sectors: Diesel motors,6.29,5.70,5.16,1.31,0.96,0.96,0.80,0.70,1.11,0.69,0.61,0.57,0.49,0.42,0.36,0.33
Other Industrial sectors: Electric machinery,5.96,10.07,10.83,15.54,16.07,16.32,16.80,16.23,5.85,11.23,9.85,12.29,12.08,11.50,13.26,11.24
