DE: Chemicals Industry / final energy consumption,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,
Detailed split of energy consumption by subsector (ktoe),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Low enthalpy heat,2.6,2.7,2.7,3.3,3.3,3.9,4.2,4.8,4.8,5.0,4.5,4.6,5.1,5.3,5.4,5.8
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.3,0.2,0.3,0.4,0.5,0.8,0.5,0.4,0.5,0.5,0.4,0.4,0.2
Natural gas (incl. biogas),0.8,0.8,0.8,1.0,1.0,1.2,1.3,1.4,1.5,1.5,1.3,1.4,1.5,1.6,1.6,1.8
Solar and geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,1.8,1.9,1.9,2.1,2.1,2.4,2.5,2.8,2.6,3.0,2.7,2.8,3.1,3.3,3.5,3.9
Chemicals: High enthalpy heat  processing,7.8,8.1,8.2,10.1,10.0,11.7,12.6,14.3,14.6,15.1,13.5,14.0,15.5,15.9,16.4,17.6
High enthalpy heat  processing - Steam,6.6,6.9,7.0,8.6,8.5,9.9,10.7,12.2,12.4,12.8,11.5,11.9,13.2,13.5,14.0,15.0
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0.1
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liquids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),6.6,6.9,7.0,8.4,8.4,9.8,10.5,12.0,12.1,12.7,11.3,11.7,13.0,13.3,13.8,14.9
Derived gases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steam distributed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High enthalpy heat  processing - Electric (microwave),1.2,1.2,1.2,1.5,1.5,1.8,1.9,2.2,2.2,2.3,2.0,2.1,2.3,2.4,2.5,2.6
Chemicals: Furnaces,16.4,17.0,17.2,21.1,21.1,24.5,26.5,30.1,30.7,31.6,28.3,29.3,32.5,33.3,34.5,36.9
Chemicals: Furnaces - Thermal,8.6,8.2,8.7,14.0,12.5,15.4,17.7,24.5,25.7,28.8,23.9,24.9,28.5,29.2,28.8,32.6
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel oil (incl. biofuels),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural gas (incl. biogas),8.6,8.2,8.7,14.0,12.5,15.4,17.7,24.4,25.7,28.8,23.9,24.9,28.5,29.2,28.8,32.6
Chemicals: Furnaces - Electric,7.8,8.8,8.5,7.1,8.6,9.1,8.7,5.6,4.9,2.9,4.4,4.4,4.0,4.1,5.7,4.3
Chemicals: Process cooling,11.8,12.3,12.4,15.2,15.2,17.7,19.1,21.7,22.1,22.8,20.4,21.1,23.4,24.0,24.8,26.6
Chemicals: Process cooling - Natural gas (incl. biogas),4.1,3.9,4.1,6.6,5.9,7.3,8.4,11.6,12.2,13.6,11.3,11.8,13.5,13.8,13.7,15.5
Chemicals: Process cooling - Steam,4.0,4.2,4.2,5.2,5.2,6.0,6.5,7.4,7.6,7.8,7.0,7.2,8.0,8.2,8.5,9.1
Solids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refinery gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
